Ottawa Senators©=GOAL|Toronto Maple Leafs=G_ALLOWED|Protiútoky gól po obstojnej nahrávke - --Jakub Štěpán - 1:0 !!--(Zianon  Kaviarnia, Radek Bednařík)
Anaheim Ducks ®=GOAL|San Jose Sharks™=G_ALLOWED|Nahrávky spoza brány gól po výbornej nahrávke - --Aki Puttaa - 3:0 !!--(Roberts Valdmanis, Pavol Beňovský)
Anaheim Ducks ®=GOAL|San Jose Sharks™=G_ALLOWED|Nahrávky spoza brány Dorážka, --Nino Orman - 4:0 !!--(Kaarlo Rokkanen, Ondřej Jiřík)
Anaheim Ducks ®=PIM|San Jose Sharks™=POWERPLAY|vylúčenie hráča - Roberts Valdmanis4 proti 5
Anaheim Ducks ®=PIM|San Jose Sharks™=POWERPLAY|vylúčenie hráča - Pavol Beňovský4 proti 5
San Jose Sharks™=PIM|Anaheim Ducks ®=POWERPLAY|vylúčenie hráča - Kvído Sýkora4 proti 4
San Jose Sharks™=GOAL|Anaheim Ducks ®=G_ALLOWED|Nahrávky spoza brány --Zoltán Marcinko - 4:1 !!--(Julien-Leonard Strotkötter, Kvído Sýkora)
Anaheim Ducks ®=GOAL|San Jose Sharks™=G_ALLOWED|Nahrávky spoza brány Dorážka, --Daniel Chalupa - 5:1 !!--(bez asistencie)
Anaheim Ducks ®=GOAL|San Jose Sharks™=G_ALLOWED|Nahrávky spoza brány Dorážka, gól po výbornej nahrávke - --Aki Puttaa - 6:1 !!--(Pavol Beňovský, Daniel Chalupa)
Anaheim Ducks ®=PIM|San Jose Sharks™=POWERPLAY|vylúčenie hráča - Aapeli Lintunen4 proti 5
San Jose Sharks™=PIM|Anaheim Ducks ®=POWERPLAY|vylúčenie hráča - Zoltán Marcinko4 proti 5
Phoenix Coyotes ®=PIM|Los Angeles Kings ®=POWERPLAY|vylúčenie hráča - Christophe Schaeren4 proti 5
Los Angeles Kings ®=GOAL|Phoenix Coyotes ®=G_ALLOWED|--Marijan Urtelj - 1:0 !!--PP!! --(Zdenko Zeleňák)
Phoenix Coyotes ®=PIM|Los Angeles Kings ®=POWERPLAY|vylúčenie hráča - Richard Labuda4 proti 5
Phoenix Coyotes ®=PIM|Los Angeles Kings ®=POWERPLAY|vylúčenie hráča - Martin Marhuľa3 proti 5
Los Angeles Kings ®=GOAL|Phoenix Coyotes ®=G_ALLOWED|--Marijan Urtelj - 2:0 !!--(bez asistencie)
Los Angeles Kings ®=GOAL|Phoenix Coyotes ®=G_ALLOWED|Nahrávky spoza brány --Adolf Beluško - 3:0 !!--(bez asistencie)
Phoenix Coyotes ®=PIM|Los Angeles Kings ®=POWERPLAY|vylúčenie hráča - Eerikki Kohtala4 proti 5
Phoenix Coyotes ®=PIM|Los Angeles Kings ®=POWERPLAY|vylúčenie hráča - Martin Marhuľa3 proti 5
Los Angeles Kings ®=GOAL|Phoenix Coyotes ®=G_ALLOWED|--Albertín Cimbala - 4:0 !!--PP!!--(Marijan Urtelj, Štefan Horváth)
Los Angeles Kings ®=PIM|Phoenix Coyotes ®=POWERPLAY|vylúčenie hráča - Samuel Orbach4 proti 5
Los Angeles Kings ®=GOAL|Phoenix Coyotes ®=G_ALLOWED|Protiútoky gól po šikovnej nahrávke - --Marijan Urtelj - 5:0 !!--(Viliam Drgoň, Zdenko Zeleňák)
Los Angeles Kings ®=GOAL|Phoenix Coyotes ®=G_ALLOWED|Protiútoky --Zdenko Zeleňák - 6:0 !!--(bez asistencie)
Los Angeles Kings ®=PIM|Phoenix Coyotes ®=POWERPLAY|vylúčenie hráča - Radoslav Godor4 proti 5
Los Angeles Kings ®=GOAL|Phoenix Coyotes ®=G_ALLOWED|--Viliam Drgoň - 7:0 !!--SH!!--(Jean Beaudouin, Zdenko Zeleňák)
Phoenix Coyotes ®=PIM|Los Angeles Kings ®=POWERPLAY|vylúčenie hráča - Bjorn Kroken4 proti 5
Los Angeles Kings ®=GOAL|Phoenix Coyotes ®=G_ALLOWED|Protiútoky --Zdenko Zeleňák - 8:0 !!--(bez asistencie)
Phoenix Coyotes ®=GOAL|Los Angeles Kings ®=G_ALLOWED|Streľba od modrej čiary gól po výbornej nahrávke - --Holger Pawlowski - 8:1 !!--(Jonatán Kachman, Tamás Vámbéry)
Montreal Canadiens ™=PIM|Dallas Stars®=POWERPLAY|vylúčenie hráča - Alex Tomík4 proti 5
Montreal Canadiens ™=PIM|Dallas Stars®=POWERPLAY|vylúčenie hráča - David Skaggs4 proti 5
Dallas Stars®=GOAL|Montreal Canadiens ™=G_ALLOWED|--Arpád Šmajda - 0:1 !!--(Māris Brasliņš)
Montreal Canadiens ™=PIM|Dallas Stars®=POWERPLAY|vylúčenie hráča - Antip Yudin4 proti 5
Dallas Stars®=PIM|Montreal Canadiens ™=POWERPLAY|vylúčenie hráča - Ed Quintanilla4 proti 5
Montreal Canadiens ™=GOAL|Dallas Stars®=G_ALLOWED|--Róbert Halabrín - 1:1 !!--PP!!--(Toms Osiňđ)
Dallas Stars®=GOAL|Montreal Canadiens ™=G_ALLOWED|gól po geniálnej nahrávke - --Arpád Šmajda - 1:2 !!--(Māris Brasliņš, Jonáš Machala)
Montreal Canadiens ™=PIM|Dallas Stars®=POWERPLAY|vylúčenie hráča - Víťazoslav Dobranský4 proti 5
Tampa Bay Lightning ®=PIM|Washington Capitals®=POWERPLAY|vylúčenie hráča - Radomír Kokoška4 proti 5
Washington Capitals®=GOAL|Tampa Bay Lightning ®=G_ALLOWED|--Lukáš Pech - 0:1 !!--PP!!--(Keerdo Glebov)
Washington Capitals®=PIM|Tampa Bay Lightning ®=POWERPLAY|vylúčenie hráča - Jiří Nováček4 proti 5
Washington Capitals®=GOAL|Tampa Bay Lightning ®=G_ALLOWED|--Leoš Líbal - 0:2 !!--(Adam Hupcej)
Washington Capitals®=GOAL|Tampa Bay Lightning ®=G_ALLOWED|Nahrávky spoza brány gól po geniálnej nahrávke - --Bahit Alimbekov - 0:3 !!--(Lukáš Pech)
Washington Capitals®=PIM|Tampa Bay Lightning ®=POWERPLAY|vylúčenie hráča - Mathieu Laporte4 proti 5
Tampa Bay Lightning ®=PIM|Washington Capitals®=POWERPLAY|vylúčenie hráča - Radomír Kokoška4 proti 5
Tampa Bay Lightning ®=PIM|Washington Capitals®=POWERPLAY|vylúčenie hráča - Marcello Städler3 proti 5
Washington Capitals®=PIM|Tampa Bay Lightning ®=POWERPLAY|vylúčenie hráča - Francisco Jurado4 proti 5
Washington Capitals®=PIM|Tampa Bay Lightning ®=POWERPLAY|vylúčenie hráča - Ľuboš Fial3 proti 5
Tampa Bay Lightning ®=GOAL|Washington Capitals®=G_ALLOWED|--Bystrík Bačinský - 1:3 !!--PP!!--(Vadim Goncharov)
Washington Capitals®=PIM|Tampa Bay Lightning ®=POWERPLAY|vylúčenie hráča - Leoš Líbal4 proti 5
Tampa Bay Lightning ®=PIM|Washington Capitals®=POWERPLAY|vylúčenie hráča - Christian Culbreth4 proti 5
Tampa Bay Lightning ®=PIM|Washington Capitals®=POWERPLAY|vylúčenie hráča - Marcello Städler4 proti 5
Florida Panthers®=PIM|Carolina Hurricanes=POWERPLAY|vylúčenie hráča - Jan Pánek4 proti 5
Florida Panthers®=PIM|Carolina Hurricanes=POWERPLAY|vylúčenie hráča - Matěj Kotrba4 proti 5
Carolina Hurricanes=GOAL|Florida Panthers®=G_ALLOWED|Nahrávky spoza brány --Joonas Lohiniva - 1:0 !!--(Olívius Bobko, Sofroniusz Skotnicki)
Carolina Hurricanes=GOAL|Florida Panthers®=G_ALLOWED|Nahrávky spoza brány --Ari Vesanto - 2:0 !!--(Jere Junell, Ondřej Tůma)
Carolina Hurricanes=GOAL|Florida Panthers®=G_ALLOWED|--Joonas Lohiniva - 3:0 !!--(Olívius Bobko)
Florida Panthers®=PIM|Carolina Hurricanes=POWERPLAY|vylúčenie hráča - Milan Hanzlík4 proti 5
Carolina Hurricanes=GOAL|Florida Panthers®=G_ALLOWED|gól po perfektnej nahrávke - --Ondřej Tůma - 4:0 !!--(Harvey Leach)
Carolina Hurricanes=PIM|Florida Panthers®=POWERPLAY|vylúčenie hráča - Laurent Labbe4 proti 5
Florida Panthers®=PIM|Carolina Hurricanes=POWERPLAY|vylúčenie hráča - Patric Froidevaux4 proti 5
Carolina Hurricanes=GOAL|Florida Panthers®=G_ALLOWED|--Vladimir Urtelj - 5:0 !!--PP!!--(Joonas Lohiniva, Hank Box)
Carolina Hurricanes=GOAL|Florida Panthers®=G_ALLOWED|gól po perfektnej nahrávke - --Ari Vesanto - 6:0 !!--(Jere Junell, Iain Hanson)
Carolina Hurricanes=GOAL|Florida Panthers®=G_ALLOWED|Nahrávky spoza brány Dorážka, gól po výbornej nahrávke - --Sofroniusz Skotnicki - 7:0 !!--(Stanislav Sičák, Joonas Lohiniva)
Florida Panthers®=PIM|Carolina Hurricanes=POWERPLAY|vylúčenie hráča - Matěj Černoch4 proti 5
Pittsburgh Penguins=PIM|New Jersey Devils®=POWERPLAY|vylúčenie hráča - Peter Bondra4 proti 5
Pittsburgh Penguins=PIM|New Jersey Devils®=POWERPLAY|vylúčenie hráča - Mike Green3 proti 5
Pittsburgh Penguins=PIM|New Jersey Devils®=POWERPLAY|vylúčenie hráča - Peter Bondra4 proti 5
New Jersey Devils®=PIM|Pittsburgh Penguins=POWERPLAY|vylúčenie hráča - Patrik Motyčka4 proti 4
Pittsburgh Penguins=GOAL|New Jersey Devils®=G_ALLOWED|--Petr Svoboda - 1:0 !!--(Sidney Crosby, Pascal Dupuis)
Pittsburgh Penguins=GOAL|New Jersey Devils®=G_ALLOWED|Nahrávky spoza brány --Igor Liba - 2:0 !!--(bez asistencie)
Pittsburgh Penguins=PIM|New Jersey Devils®=POWERPLAY|vylúčenie hráča - Ray Bourque 4 proti 5
New Jersey Devils®=PIM|Pittsburgh Penguins=POWERPLAY|vylúčenie hráča - Hanbibi Bazarov4 proti 5
New Jersey Devils®=PIM|Pittsburgh Penguins=POWERPLAY|vylúčenie hráča - Richard Bača3 proti 5
Pittsburgh Penguins=PIM|New Jersey Devils®=POWERPLAY|vylúčenie hráča - Sidney Crosby4 proti 5
New Jersey Devils®=PIM|Pittsburgh Penguins=POWERPLAY|vylúčenie hráča - Cätälin Ionescu4 proti 5
Pittsburgh Penguins=PIM|New Jersey Devils®=POWERPLAY|vylúčenie hráča - Igor Larionov4 proti 5
Pittsburgh Penguins=PIM|New Jersey Devils®=POWERPLAY|vylúčenie hráča - Erik Karlsson3 proti 5
New Jersey Devils®=GOAL|Pittsburgh Penguins=G_ALLOWED|--Ivo Pavārds - 2:1 !!--PP!! --(Patrik Motyčka)
New Jersey Devils®=PIM|Pittsburgh Penguins=POWERPLAY|vylúčenie hráča - Richard Bača4 proti 4
New Jersey Devils®=PIM|Pittsburgh Penguins=POWERPLAY|vylúčenie hráča - Petr Stekhin4 proti 5
Pittsburgh Penguins=PIM|New Jersey Devils®=POWERPLAY|vylúčenie hráča - Pascal Dupuis4 proti 5
Philadelphia Flyers ®=PIM|New York Islanders™=POWERPLAY|vylúčenie hráča - Lőrinc Sön4 proti 5
Philadelphia Flyers ®=PIM|New York Islanders™=POWERPLAY|vylúčenie hráča - Artur Giatsintov3 proti 5
New York Islanders™=GOAL|Philadelphia Flyers ®=G_ALLOWED|gól po geniálnej nahrávke - --Andreas Syrstad - 1:0 !!--(Raimo Juutilainen, Johann Ciesla)
