06:05:58 13.02.2013|157.56.93.201|stats.php|&s=allstats&pos=all&type=reg&team=car&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:05:34 13.02.2013|157.55.35.82|stats.php|&s=34&pos=goalies&type=reg&team=car&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:05:00 13.02.2013|157.56.93.201|stats.php|&s=34&pos=points&type=reg&team=car&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:04:30 13.02.2013|157.55.32.58|stats.php|&s=34&pos=points&type=reg&team=tor&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:04:01 13.02.2013|157.56.93.201|stats.php|&s=34&pos=all&type=po&team=buf&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:03:46 13.02.2013|157.55.35.82|stats.php|&s=35&pos=all&type=reg&team=buf&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:02:59 13.02.2013|157.55.32.185|stats.php|&s=34&pos=defs&type=reg&team=car&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:02:36 13.02.2013|157.55.35.82|stats.php|&s=34&pos=points&type=reg&team=buf&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:02:01 13.02.2013|157.55.32.58|stats.php|&s=34&pos=points&type=reg&team=tor&sort=asists&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:01:43 13.02.2013|157.55.32.185|stats.php|&s=34&pos=defs&type=reg&team=buf&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:00:57 13.02.2013|157.55.32.185|stats.php|&s=34&pos=points&type=reg&team=tbl&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:00:31 13.02.2013|157.56.93.201|stats.php|&s=34&pos=points&type=reg&team=ana&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:59:56 13.02.2013|157.55.32.189|stats.php|&s=34&pos=points&type=reg&team=tor&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:59:41 13.02.2013|157.55.35.82|stats.php|&s=34&pos=points&type=reg&team=buf&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:59:02 13.02.2013|157.56.93.201|stats.php|&s=34&pos=all&type=po&team=ana&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
05:58:16 13.02.2013|66.249.78.213|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
05:58:09 13.02.2013|66.249.76.210|teams_compare.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
05:56:05 13.02.2013|157.55.32.113|stats.php|&s=35&pos=all&type=reg&team=col&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
